Quotazioni Fantacalcio Stagione 2026 27,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
5841,P,Por,Svilar,Roma,19,18,1,19,18,1,85,85
4431,P,Por,Carnesecchi,Atalanta,17,16,1,17,16,1,55,55
5116,P,Por,Martinez Jo.,Inter,17,17,0,17,17,0,68,68
4964,P,Por,Vicario,Juventus,17,16,1,17,16,1,70,70
6966,P,Por,Butez,Como,15,16,-1,15,16,-1,50,50
4312,P,Por,Maignan,Milan,15,15,0,15,15,0,52,52
2521,P,Por,De Gea,Fiorentina,11,13,-2,11,13,-2,30,30
572,P,Por,Meret,Napoli,11,11,0,11,11,0,48,48
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,32,32
4360,P,Por,Caprile,Cagliari,10,9,1,10,9,1,25,25
6482,P,Por,Mandas,Lazio,10,9,1,10,9,1,36,36
6462,P,Por,Okoye,Udinese,9,9,0,9,9,0,28,28
6534,P,Por,Perri,Torino,9,9,0,9,9,0,26,26
7332,P,Por,Bijlow,Genoa,8,8,0,8,8,0,15,15
2134,P,Por,Falcone,Lecce,8,8,0,8,8,0,26,26
6344,P,Por,Sanchez Ro.,Como,8,8,0,8,8,0,25,25
4236,P,Por,Muric,Sassuolo,7,7,0,7,7,0,15,15
7411,P,Por,Daffara,Parma,6,7,-1,6,7,-1,7,7
6248,P,Por,Stankovic F.,Venezia,6,6,0,6,6,0,11,11
6415,P,Por,Palmisani,Frosinone,5,4,1,5,4,1,12,12
2170,P,Por,Milinkovic-Savic V.,Napoli,5,5,0,5,5,0,5,5
4485,P,Por,Thiam,Monza,4,5,-1,4,5,-1,5,5
7463,P,Por,Desplanches,Frosinone,2,2,0,2,2,0,1,1
2814,P,Por,Provedel,Inter,2,2,0,2,2,0,5,5
6662,P,Por,Corvi,Parma,2,1,1,2,1,1,10,10
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1
7533,P,Por,Happonen,Bologna,1,1,0,1,1,0,1,1
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1
6650,P,Por,Sherri,Cagliari,1,1,0,1,1,0,1,1
7301,P,Por,Tornqvist,Monza,1,1,0,1,1,0,10,10
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1
6403,P,Por,Christensen O.,Fiorentina,1,1,0,1,1,0,1,1
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1
7466,P,Por,Lolic,Frosinone,1,1,0,1,1,0,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
6569,P,Por,Stolz,Genoa,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
